[2026-04-15T08:28:46.708Z] GET https://advertising.amazon.com/ → pending (?ms, ?B)
[2026-04-15T08:28:47.713Z] GET https://m.media-amazon.com/images/I/11zuylp74DL._RC%7C61xJcNKKLXL.js,11Y+5x+kkTL.js,51vYHGMfzIL.js,115zbyk371L.js,11GgN1+C7hL.js,01+z+uIeJ-L.js,01VRMV3FBdL.js,21NadQlXUWL.js,01vRf9id2EL.js,11a7qqY8xXL.js,11aZNVRA-EL.js,51C4kaFbiAL.js,11FhdH2HZwL.js,11wb9K3sw0L.js,11BrgrMAHUL.js,11GPhx42StL.js,210X-JWUe-L.js,01Svfxfy8OL.js,61070UYoWML.js,01ikBbTAneL.js,31xywoXPfpL.js,01qXJuwGmxL.js,01WlsjNmqIL.js,11F929pmpYL.js,31Zn4S+IOkL.js,01rpauTep4L.js,31rqCOnXDNL.js,011FfPwYqHL.js,21P5VvHf-XL.js,013ncka0wXL.js,21kN0q4IA-L.js,01VvIkYCafL.js,11vb6P5C5AL.js,01NjPq-AshL.js_.js?AUIClients/AmazonUI → 200 (750ms, 384321B)
[2026-04-15T08:28:47.713Z] GET https://na.account.amazon.com/ap/sso/check?openid.pape.max_auth_age=1209600&openid.pape.auth_policies=Singlefactor → 200 (748ms, 13B)
[2026-04-15T08:28:48.461Z] GET https://d2h1qfxg5j5pfv.cloudfront.net/adobe-web-sdk/alloy-2-15-0/alloy.min.js → pending (?ms, ?B)
[2026-04-15T08:28:48.461Z] GET https://d209e2j7j88hab.cloudfront.net/assets-amazon-ads.css?version=4 → pending (?ms, ?B)
[2026-04-15T08:28:48.461Z] GET https://d209e2j7j88hab.cloudfront.net/assets-amazon-ads.js?version=4 → pending (?ms, ?B)
[2026-04-15T08:28:48.461Z] GET https://fls-na.amazon.com/1/batch/1/OP/A381WA5GOSXMH7:131-0412917-9196463:9YS3424KFYRK88EVG9SP$uedata=s:%2Fuedata%2Fuedata%3Fstaticb%26id%3D9YS3424KFYRK88EVG9SP:0 → pending (?ms, ?B)
[2026-04-15T08:28:48.462Z] GET https://m.media-amazon.com/images/G/01/Amazon-Ads-Academy/Amazon_Ads_Horizontal_SquidInk.png → pending (?ms, ?B)
[2026-04-15T08:28:48.462Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/forrester-thumbnail_2._BL10_FMwebp_._TTW_.jpg → pending (?ms, ?B)
[2026-04-15T08:28:48.463Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/campaigns/upfronts_2024/upfronts_promocard_2026._BL10_FMwebp_._TTW_.jpg → pending (?ms, ?B)
[2026-04-15T08:28:48.463Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/VisualRefresh/Iconography/Marketing-Outcomes/Tertiary/TetriaryConversionIcon._SL100_FMwebp_._TTW_.png → pending (?ms, ?B)
[2026-04-15T08:28:48.463Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/VisualRefresh/Illustration/Four-Color/Goals_Increase-Sales--Conversions_4-color._BL10_FMwebp_._TTW_.png → pending (?ms, ?B)
[2026-04-15T08:28:48.463Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/refreshed-all-purpose-2024/24_ads-APR2024-brand_refresh_device_laptop_1092x730_21._TTW_._BL10_FMwebp_SX1600_._TTW_.jpg → pending (?ms, ?B)
[2026-04-15T08:28:48.463Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/VisualRefresh/Iconography/lightBackgrounds/media-consumption_social-media_smile-orange_positive_white._SL100_FMwebp_._TTW_.png → pending (?ms, ?B)
[2026-04-15T08:28:48.463Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/VisualRefresh/Iconography/lightBackgrounds/media-consumption_book_purple_positive_white._SL100_FMwebp_._TTW_.png → pending (?ms, ?B)
[2026-04-15T08:28:48.463Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/VisualRefresh/Iconography/lightBackgrounds/education_amazon-ads-acadamey_green_positive_white._SL100_FMwebp_._TTW_.png → pending (?ms, ?B)
[2026-04-15T08:28:48.463Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/VisualRefresh/Iconography/lightBackgrounds/media-consumption_podcast_pink_positive_white._SL100_FMwebp_._TTW_.png → pending (?ms, ?B)
